"City / Municipality","Transmission Status"
"MAGSAYSAY, OCCIDENTAL MINDORO","FULL TRANSMISSION"
"MAGSAYSAY, PALAWAN","FULL TRANSMISSION"
"MAGSAYSAY (LINUGOS), MISAMIS ORIENTAL","FULL TRANSMISSION"
"MAGSINGAL, ILOCOS SUR","FULL TRANSMISSION"
"MAGUING, LANAO DEL SUR","FULL TRANSMISSION"
"MAHAPLAG, LEYTE","FULL TRANSMISSION"
"MAHATAO, BATANES","FULL TRANSMISSION"
"MAHAYAG, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"MAHINOG, CAMIGUIN","FULL TRANSMISSION"
"MAIGO, LANAO DEL NORTE","PARTIAL TRANSMISSION"
"MAIMBUNG, SULU","FULL TRANSMISSION"
"MAINIT, SURIGAO DEL NORTE","FULL TRANSMISSION"
"MAITUM, SARANGANI","FULL TRANSMISSION"
"MAJAYJAY, LAGUNA","FULL TRANSMISSION"
"MAKATO, AKLAN","FULL TRANSMISSION"
"MAKILALA, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"MALABANG, LANAO DEL SUR","FULL TRANSMISSION"
"MALABON CITY, NATIONAL CAPITAL REGION - THIRD DISTRICT","FULL TRANSMISSION"
"MALABUYOC, CEBU","FULL TRANSMISSION"
"MALALAG, DAVAO DEL SUR","FULL TRANSMISSION"
"MALANGAS, ZAMBOANGA SIBUGAY","FULL TRANSMISSION"
"MALAPATAN, SARANGANI","FULL TRANSMISSION"
"MALASIQUI, PANGASINAN","PARTIAL TRANSMISSION"
"MALATE, NATIONAL CAPITAL REGION - MANILA","NO TRANSMISSION"
"MALAY, AKLAN","FULL TRANSMISSION"
"MALAYSIA, ASIA","FULL TRANSMISSION"
"MALIBCONG, ABRA","FULL TRANSMISSION"
"MALILIPOT, ALBAY","FULL TRANSMISSION"
"MALIMONO, SURIGAO DEL NORTE","PARTIAL TRANSMISSION"
"MALINAO, AKLAN","FULL TRANSMISSION"
"MALINAO, ALBAY","FULL TRANSMISSION"
"MALITA, DAVAO OCCIDENTAL","FULL TRANSMISSION"
"MALITBOG, BUKIDNON","FULL TRANSMISSION"
"MALITBOG, SOUTHERN LEYTE","FULL TRANSMISSION"
"MALLIG, ISABELA","FULL TRANSMISSION"
"MALOLOS CITY, BULACAN","FULL TRANSMISSION"
"MALUNGON, SARANGANI","FULL TRANSMISSION"
"MALUSO, BASILAN","FULL TRANSMISSION"
"MALVAR, BATANGAS","FULL TRANSMISSION"
"MAMASAPANO, MAGUINDANAO","PARTIAL TRANSMISSION"
"MAMBAJAO, CAMIGUIN","FULL TRANSMISSION"
"MAMBURAO, OCCIDENTAL MINDORO","FULL TRANSMISSION"
"MAMBUSAO, CAPIZ","PARTIAL TRANSMISSION"
"MANABO, ABRA","PARTIAL TRANSMISSION"
"MANAOAG, PANGASINAN","FULL TRANSMISSION"
"MANAPLA, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"MANAY, DAVAO ORIENTAL","FULL TRANSMISSION"
"MANDAON, MASBATE","FULL TRANSMISSION"
"MANDAUE CITY, CEBU","FULL TRANSMISSION"
"MANGALDAN, PANGASINAN","FULL TRANSMISSION"
"MANGATAREM, PANGASINAN","PARTIAL TRANSMISSION"
"MANGUDADATU, MAGUINDANAO","FULL TRANSMISSION"
"MANITO, ALBAY","FULL TRANSMISSION"
"MANJUYOD, NEGROS ORIENTAL","FULL TRANSMISSION"
"MANKAYAN, BENGUET","FULL TRANSMISSION"
"MANOLO FORTICH, BUKIDNON","FULL TRANSMISSION"
"MANSALAY, ORIENTAL MINDORO","FULL TRANSMISSION"
"MANTICAO, MISAMIS ORIENTAL","FULL TRANSMISSION"
"MANUKAN, ZAMBOANGA DEL NORTE","PARTIAL TRANSMISSION"
"MAPANAS, NORTHERN SAMAR","FULL TRANSMISSION"
"MAPANDAN, PANGASINAN","FULL TRANSMISSION"
"MAPUN (CAGAYAN DE TAWI-TAWI), TAWI-TAWI","PARTIAL TRANSMISSION"
"MARABUT, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"MARAGONDON, CAVITE","FULL TRANSMISSION"
"MARAGUSAN (SAN MARIANO), COMPOSTELA VALLEY","FULL TRANSMISSION"
"MARAMAG, BUKIDNON","FULL TRANSMISSION"
"MARANTAO, LANAO DEL SUR","FULL TRANSMISSION"
"MARAWI CITY, LANAO DEL SUR","PARTIAL TRANSMISSION"
"MARCOS, ILOCOS NORTE","PARTIAL TRANSMISSION"
"MARGOSATUBIG, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"MARIA, SIQUIJOR","FULL TRANSMISSION"
"MARIA AURORA, AURORA","FULL TRANSMISSION"
"MARIBOJOC, BOHOL","PARTIAL TRANSMISSION"
"MARIHATAG, SURIGAO DEL SUR","PARTIAL TRANSMISSION"
"MARILAO, BULACAN","FULL TRANSMISSION"
"MARIPIPI, BILIRAN","FULL TRANSMISSION"
"MARIVELES, BATAAN","FULL TRANSMISSION"
"MAROGONG, LANAO DEL SUR","FULL TRANSMISSION"
"MASANTOL, PAMPANGA","FULL TRANSMISSION"
"MASBATE CITY, MASBATE","FULL TRANSMISSION"
"MASINLOC, ZAMBALES","FULL TRANSMISSION"
"MASIU, LANAO DEL SUR","PARTIAL TRANSMISSION"
"MASLOG, EASTERN SAMAR","FULL TRANSMISSION"
"MATAAS NA KAHOY, BATANGAS","PARTIAL TRANSMISSION"
"MATAG-OB, LEYTE","PARTIAL TRANSMISSION"
"MATALAM, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"MATALOM, LEYTE","FULL TRANSMISSION"
"MATANAO, DAVAO DEL SUR","FULL TRANSMISSION"
"MATANOG, MAGUINDANAO","FULL TRANSMISSION"
"MATI  CITY, DAVAO ORIENTAL","PARTIAL TRANSMISSION"
"MATNOG, SORSOGON","PARTIAL TRANSMISSION"
"MATUGUINAO, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"MATUNGAO, LANAO DEL NORTE","PARTIAL TRANSMISSION"
"MAUBAN, QUEZON","FULL TRANSMISSION"
"MAWAB, COMPOSTELA VALLEY","FULL TRANSMISSION"
"MAYANTOC, TARLAC","FULL TRANSMISSION"
"MAYDOLONG, EASTERN SAMAR","FULL TRANSMISSION"
"MAYORGA, LEYTE","FULL TRANSMISSION"
"MAYOYAO, IFUGAO","FULL TRANSMISSION"
"MEDELLIN, CEBU","FULL TRANSMISSION"
"MEDINA, MISAMIS ORIENTAL","FULL TRANSMISSION"
"MENDEZ (MENDEZ-NUÑEZ), CAVITE","PARTIAL TRANSMISSION"
"MERCEDES, CAMARINES NORTE","FULL TRANSMISSION"
"MERCEDES, EASTERN SAMAR","FULL TRANSMISSION"
"MERIDA, LEYTE","PARTIAL TRANSMISSION"
"MEXICO, NORTH AND LATIN AMERICA","NO TRANSMISSION"
"MEXICO, PAMPANGA","FULL TRANSMISSION"
"MEYCAUAYAN CITY, BULACAN","FULL TRANSMISSION"
"MIAGAO, ILOILO","FULL TRANSMISSION"
"MIDSALIP, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"MIDSAYAP, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"MILAGROS, MASBATE","FULL TRANSMISSION"
"MILAOR, CAMARINES SUR","FULL TRANSMISSION"
"MINA, ILOILO","FULL TRANSMISSION"
"MINALABAC, CAMARINES SUR","FULL TRANSMISSION"
"MINALIN, PAMPANGA","FULL TRANSMISSION"
"MINGLANILLA, CEBU","FULL TRANSMISSION"
"MOALBOAL, CEBU","FULL TRANSMISSION"
"MOBO, MASBATE","PARTIAL TRANSMISSION"
"MOGPOG, MARINDUQUE","FULL TRANSMISSION"
"MOISES PADILLA (MAGALLON), NEGROS OCCIDENTAL","FULL TRANSMISSION"
"MOLAVE, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"MONCADA, TARLAC","FULL TRANSMISSION"
"MONDRAGON, NORTHERN SAMAR","PARTIAL TRANSMISSION"
"MONKAYO, COMPOSTELA VALLEY","FULL TRANSMISSION"
"MONREAL, MASBATE","FULL TRANSMISSION"
"MONTEVISTA, COMPOSTELA VALLEY","FULL TRANSMISSION"
"MORONG, BATAAN","FULL TRANSMISSION"
"MORONG, RIZAL","FULL TRANSMISSION"
"MOSCOW PE, EUROPE","NO TRANSMISSION"
"MOTIONG, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"MULANAY, QUEZON","FULL TRANSMISSION"
"MULONDO, LANAO DEL SUR","PARTIAL TRANSMISSION"
"MUNAI, LANAO DEL NORTE","PARTIAL TRANSMISSION"
"MURCIA, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"MUTIA, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"NAAWAN, MISAMIS ORIENTAL","FULL TRANSMISSION"
"NABAS, AKLAN","FULL TRANSMISSION"
"NABUA, CAMARINES SUR","FULL TRANSMISSION"
"NABUNTURAN, COMPOSTELA VALLEY","FULL TRANSMISSION"
"NAGA, ZAMBOANGA SIBUGAY","FULL TRANSMISSION"
"NAGA CITY, CAMARINES SUR","FULL TRANSMISSION"
"NAGA CITY, CEBU","FULL TRANSMISSION"
"NAGBUKEL, ILOCOS SUR","FULL TRANSMISSION"
"NAGCARLAN, LAGUNA","FULL TRANSMISSION"
"NAGTIPUNAN, QUIRINO","FULL TRANSMISSION"
"NAGUILIAN, ISABELA","FULL TRANSMISSION"
"NAGUILIAN, LA UNION","FULL TRANSMISSION"
"NAIC, CAVITE","FULL TRANSMISSION"
"NAIROBI PE, MIDDLE EAST AND AFRICAS","NO TRANSMISSION"
"NAMPICUAN, NUEVA ECIJA","FULL TRANSMISSION"
"NARRA, PALAWAN","FULL TRANSMISSION"
"NARVACAN, ILOCOS SUR","FULL TRANSMISSION"
"NASIPIT, AGUSAN DEL NORTE","FULL TRANSMISSION"
"NASUGBU, BATANGAS","FULL TRANSMISSION"
"NATIVIDAD, PANGASINAN","FULL TRANSMISSION"
"NATONIN, MOUNTAIN PROVINCE","PARTIAL TRANSMISSION"
"NAUJAN, ORIENTAL MINDORO","FULL TRANSMISSION"
"NAVAL, BILIRAN","PARTIAL TRANSMISSION"
"NAVOTAS CITY, NATIONAL CAPITAL REGION - THIRD DISTRICT","FULL TRANSMISSION"
"NEW BATAAN, COMPOSTELA VALLEY","FULL TRANSMISSION"
"NEW CORELLA, DAVAO (DAVAO DEL NORTE)","FULL TRANSMISSION"
"NEW LUCENA, ILOILO","FULL TRANSMISSION"
"NEW WASHINGTON, AKLAN","FULL TRANSMISSION"
"NEW ZEALAND, ASIA","NO TRANSMISSION"
"NORALA, SOUTH COTABATO","PARTIAL TRANSMISSION"
"NORTHERN KABUNTALAN, MAGUINDANAO","PARTIAL TRANSMISSION"
"NORZAGARAY, BULACAN","FULL TRANSMISSION"
"NOVELETA, CAVITE","FULL TRANSMISSION"
"NUEVA ERA, ILOCOS NORTE","FULL TRANSMISSION"
"NUEVA VALENCIA, GUIMARAS","FULL TRANSMISSION"
"NUMANCIA, AKLAN","FULL TRANSMISSION"
"NUNUNGAN, LANAO DEL NORTE","PARTIAL TRANSMISSION"
"OAS, ALBAY","FULL TRANSMISSION"
"OBANDO, BULACAN","FULL TRANSMISSION"
"OCAMPO, CAMARINES SUR","FULL TRANSMISSION"
"ODIONGAN, ROMBLON","FULL TRANSMISSION"
"OLD PANAMAO, SULU","FULL TRANSMISSION"
"OLONGAPO CITY, ZAMBALES","FULL TRANSMISSION"
"OLUTANGA, ZAMBOANGA SIBUGAY","FULL TRANSMISSION"
"OMAR, SULU","PARTIAL TRANSMISSION"
"OPOL, MISAMIS ORIENTAL","FULL TRANSMISSION"
"ORANI, BATAAN","FULL TRANSMISSION"
"ORAS, EASTERN SAMAR","FULL TRANSMISSION"
"ORION, BATAAN","FULL TRANSMISSION"
"ORMOC CITY, LEYTE","FULL TRANSMISSION"
"OROQUIETA CITY, MISAMIS OCCIDENTAL","FULL TRANSMISSION"
"OSLO PE, EUROPE","NO TRANSMISSION"
"OSLOB, CEBU","FULL TRANSMISSION"
"OTON, ILOILO","FULL TRANSMISSION"
"OZAMIS CITY, MISAMIS OCCIDENTAL","FULL TRANSMISSION"
"PACO, NATIONAL CAPITAL REGION - MANILA","NO TRANSMISSION"
"PADADA, DAVAO DEL SUR","FULL TRANSMISSION"
"PADRE BURGOS, QUEZON","FULL TRANSMISSION"
"PADRE BURGOS, SOUTHERN LEYTE","FULL TRANSMISSION"
"PADRE GARCIA, BATANGAS","FULL TRANSMISSION"
"PAETE, LAGUNA","FULL TRANSMISSION"
"PAGADIAN CITY, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"PAGAGAWAN, MAGUINDANAO","FULL TRANSMISSION"
"PAGALUNGAN, MAGUINDANAO","FULL TRANSMISSION"
"PAGAYAWAN (TATARIKAN), LANAO DEL SUR","FULL TRANSMISSION"
"PAGBILAO, QUEZON","FULL TRANSMISSION"
"PAGLAT, MAGUINDANAO","FULL TRANSMISSION"
"PAGSANGHAN, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"PAGSANJAN, LAGUNA","PARTIAL TRANSMISSION"
"PAGUDPUD, ILOCOS NORTE","FULL TRANSMISSION"
"PAKIL, LAGUNA","FULL TRANSMISSION"
"PAKISTAN, ASIA","NO TRANSMISSION"
"PALANAN, ISABELA","FULL TRANSMISSION"
"PALANAS, MASBATE","FULL TRANSMISSION"
"PALAPAG, NORTHERN SAMAR","FULL TRANSMISSION"
"PALAUIG, ZAMBALES","PARTIAL TRANSMISSION"
"PALAYAN CITY, NUEVA ECIJA","FULL TRANSMISSION"
"PALIMBANG, SULTAN KUDARAT","PARTIAL TRANSMISSION"
"PALO, LEYTE","FULL TRANSMISSION"
"PALOMPON, LEYTE","FULL TRANSMISSION"
"PALUAN, OCCIDENTAL MINDORO","FULL TRANSMISSION"
"PAMBUJAN, NORTHERN SAMAR","FULL TRANSMISSION"
"PAMPLONA, CAGAYAN","FULL TRANSMISSION"
"PAMPLONA, CAMARINES SUR","FULL TRANSMISSION"
"PAMPLONA, NEGROS ORIENTAL","FULL TRANSMISSION"
"PANABO  CITY, DAVAO (DAVAO DEL NORTE)","PARTIAL TRANSMISSION"
"PANAON, MISAMIS OCCIDENTAL","FULL TRANSMISSION"
"PANAY, CAPIZ","FULL TRANSMISSION"
"PANDACAN, NATIONAL CAPITAL REGION - MANILA","NO TRANSMISSION"
"PANDAG, MAGUINDANAO","PARTIAL TRANSMISSION"
"PANDAMI, SULU","PARTIAL TRANSMISSION"
"PANDAN, ANTIQUE","FULL TRANSMISSION"
"PANDAN, CATANDUANES","FULL TRANSMISSION"
"PANDI, BULACAN","FULL TRANSMISSION"
"PANGANIBAN (PAYO), CATANDUANES","FULL TRANSMISSION"
"PANGANTUCAN, BUKIDNON","FULL TRANSMISSION"
"PANGIL, LAGUNA","FULL TRANSMISSION"
"PANGLAO, BOHOL","FULL TRANSMISSION"
"PANGLIMA ESTINO (NEW PANAMAO), SULU","PARTIAL TRANSMISSION"
"PANGLIMA SUGALA (BALIMBING), TAWI-TAWI","FULL TRANSMISSION"
"PANGUTARAN, SULU","FULL TRANSMISSION"
"PANIQUI, TARLAC","FULL TRANSMISSION"
"PANITAN, CAPIZ","PARTIAL TRANSMISSION"
"PANTABANGAN, NUEVA ECIJA","FULL TRANSMISSION"
"PANTAO RAGAT, LANAO DEL NORTE","FULL TRANSMISSION"
"PANTAR, LANAO DEL NORTE","FULL TRANSMISSION"
"PANTUKAN, COMPOSTELA VALLEY","PARTIAL TRANSMISSION"
"PANUKULAN, QUEZON","FULL TRANSMISSION"
"PAOAY, ILOCOS NORTE","FULL TRANSMISSION"
"PAOMBONG, BULACAN","FULL TRANSMISSION"
"PAPUA NEW GUINEA, ASIA","NO TRANSMISSION"
"PARACALE, CAMARINES NORTE","FULL TRANSMISSION"
"PARACELIS, MOUNTAIN PROVINCE","PARTIAL TRANSMISSION"
"PARANAS (WRIGHT), SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"PARANG, MAGUINDANAO","PARTIAL TRANSMISSION"
"PARANG, SULU","FULL TRANSMISSION"
"PASACAO, CAMARINES SUR","FULL TRANSMISSION"
"PASAY CITY, NATIONAL CAPITAL REGION - FOURTH DISTRICT","FULL TRANSMISSION"
"PASIL, KALINGA","FULL TRANSMISSION"
"PASTRANA, LEYTE","FULL TRANSMISSION"
"PASUQUIN, ILOCOS NORTE","FULL TRANSMISSION"
"PATA, SULU","FULL TRANSMISSION"
"PATEROS, TAGUIG - PATEROS","FULL TRANSMISSION"
"PATIKUL, SULU","FULL TRANSMISSION"
"PATNANUNGAN, QUEZON","FULL TRANSMISSION"
"PATNONGON, ANTIQUE","FULL TRANSMISSION"
"PAVIA, ILOILO","FULL TRANSMISSION"
"PAYAO, ZAMBOANGA SIBUGAY","FULL TRANSMISSION"
"PEÑABLANCA, CAGAYAN","FULL TRANSMISSION"
"PEÑARANDA, NUEVA ECIJA","FULL TRANSMISSION"
"PEÑARRUBIA, ABRA","FULL TRANSMISSION"
"PEOPLES REPUBLIC OF BANGLADESH, ASIA","NO TRANSMISSION"
"PEOPLES REPUBLIC OF CHINA, ASIA","FULL TRANSMISSION"
"PEREZ, QUEZON","FULL TRANSMISSION"
"PIÑAN (NEW PIÑAN), ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"PIAGAPO, LANAO DEL SUR","PARTIAL TRANSMISSION"
"PIAT, CAGAYAN","FULL TRANSMISSION"
"PICONG (SULTAN GUMANDER), LANAO DEL SUR","FULL TRANSMISSION"
"PIDDIG, ILOCOS NORTE","FULL TRANSMISSION"
"PIDIGAN, ABRA","FULL TRANSMISSION"
"PIGKAWAYAN, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"PIKIT, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"PILA, LAGUNA","FULL TRANSMISSION"
"PILAR, ABRA","FULL TRANSMISSION"
"PILAR, BATAAN","FULL TRANSMISSION"
"PILAR, BOHOL","FULL TRANSMISSION"
"PILAR, CAPIZ","FULL TRANSMISSION"
"PILAR, CEBU","FULL TRANSMISSION"
"PILAR, SORSOGON","FULL TRANSMISSION"
"PILAR, SURIGAO DEL NORTE","PARTIAL TRANSMISSION"
"PILI, CAMARINES SUR","FULL TRANSMISSION"
"PILILLA, RIZAL","FULL TRANSMISSION"
"PINABACDAO, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"PINAMALAYAN, ORIENTAL MINDORO","FULL TRANSMISSION"
"PINAMUNGAHAN, CEBU","PARTIAL TRANSMISSION"
"PINILI, ILOCOS NORTE","FULL TRANSMISSION"
"PINTUYAN, SOUTHERN LEYTE","FULL TRANSMISSION"
"PINUKPUK, KALINGA","FULL TRANSMISSION"
"PIO DURAN, ALBAY","FULL TRANSMISSION"
"PIO V. CORPUZ (LIMBUHAN), MASBATE","FULL TRANSMISSION"
"PITOGO, QUEZON","FULL TRANSMISSION"
"PITOGO, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"PLACER, MASBATE","FULL TRANSMISSION"
"PLACER, SURIGAO DEL NORTE","PARTIAL TRANSMISSION"
"PLARIDEL, BULACAN","FULL TRANSMISSION"
"PLARIDEL, MISAMIS OCCIDENTAL","FULL TRANSMISSION"
"PLARIDEL, QUEZON","PARTIAL TRANSMISSION"
"POLA, ORIENTAL MINDORO","FULL TRANSMISSION"
"POLANCO, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"POLANGUI, ALBAY","FULL TRANSMISSION"
"POLILLO, QUEZON","FULL TRANSMISSION"
"POLOMOLOK, SOUTH COTABATO","FULL TRANSMISSION"
"PONTEVEDRA, CAPIZ","FULL TRANSMISSION"
"PONTEVEDRA, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"POONA BAYABAO  (GATA), LANAO DEL SUR","FULL TRANSMISSION"
"POONA PIAGAPO, LANAO DEL NORTE","FULL TRANSMISSION"
"PORAC, PAMPANGA","FULL TRANSMISSION"
"PORO, CEBU","PARTIAL TRANSMISSION"
"PORT AREA, NATIONAL CAPITAL REGION - MANILA","NO TRANSMISSION"
"PORTUGAL, EUROPE","NO TRANSMISSION"
"POTOTAN, ILOILO","FULL TRANSMISSION"
"POZORRUBIO, PANGASINAN","FULL TRANSMISSION"
"PRES. CARLOS P. GARCIA (PITOGO), BOHOL","FULL TRANSMISSION"
"PRES. MANUEL A. ROXAS, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"PRESENTACION (PARUBCAN), CAMARINES SUR","FULL TRANSMISSION"
"PRESIDENT QUIRINO, SULTAN KUDARAT","FULL TRANSMISSION"
"PRESIDENT ROXAS, CAPIZ","FULL TRANSMISSION"
"PRESIDENT ROXAS, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"PRETORIA PE, MIDDLE EAST AND AFRICAS","NO TRANSMISSION"
"PRIETO DIAZ, SORSOGON","FULL TRANSMISSION"
"PROSPERIDAD, AGUSAN DEL SUR","FULL TRANSMISSION"
"PUALAS, LANAO DEL SUR","FULL TRANSMISSION"
"PUDTOL, APAYAO","FULL TRANSMISSION"
"PUERTO GALERA, ORIENTAL MINDORO","FULL TRANSMISSION"
"PUERTO PRINCESA CITY, PALAWAN","FULL TRANSMISSION"
"PUGO, LA UNION","FULL TRANSMISSION"
"PULILAN, BULACAN","FULL TRANSMISSION"
"PULUPANDAN, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"PURA, TARLAC","FULL TRANSMISSION"
"QUEZON, BUKIDNON","PARTIAL TRANSMISSION"
"QUEZON, ISABELA","FULL TRANSMISSION"
"QUEZON, NUEVA ECIJA","FULL TRANSMISSION"
"QUEZON, NUEVA VIZCAYA","FULL TRANSMISSION"
"QUEZON, PALAWAN","FULL TRANSMISSION"
"QUEZON, QUEZON","FULL TRANSMISSION"
"QUEZON CITY, NATIONAL CAPITAL REGION - SECOND DISTRICT","PARTIAL TRANSMISSION"
"QUIAPO, NATIONAL CAPITAL REGION - MANILA","NO TRANSMISSION"
"QUINAPONDAN, EASTERN SAMAR","FULL TRANSMISSION"
"QUIRINO, ISABELA","FULL TRANSMISSION"
"QUIRINO (ANGKAKI), ILOCOS SUR","PARTIAL TRANSMISSION"
"RAGAY, CAMARINES SUR","FULL TRANSMISSION"
"RAJAH BUAYAN, MAGUINDANAO","PARTIAL TRANSMISSION"
"RAMON, ISABELA","FULL TRANSMISSION"
"RAMON MAGSAYSAY (LIARGO), ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"RAMOS, TARLAC","FULL TRANSMISSION"
"RAPU-RAPU, ALBAY","FULL TRANSMISSION"
"REAL, QUEZON","FULL TRANSMISSION"
"REINA MERCEDES, ISABELA","FULL TRANSMISSION"
"REMEDIOS T. ROMUALDEZ, AGUSAN DEL NORTE","FULL TRANSMISSION"
"REPUBLIC OF FRANCE, EUROPE","NO TRANSMISSION"
"REPUBLIC OF INDONESIA, ASIA","NO TRANSMISSION"
"REPUBLIC OF KOREA, ASIA","FULL TRANSMISSION"
"REPUBLIC OF LEBANON, MIDDLE EAST AND AFRICAS","FULL TRANSMISSION"
"REPUBLIC OF SINGAPORE, ASIA","FULL TRANSMISSION"
"RIZAL, CAGAYAN","PARTIAL TRANSMISSION"
"RIZAL, LAGUNA","NO TRANSMISSION"
"RIZAL, NUEVA ECIJA","FULL TRANSMISSION"
"RIZAL, OCCIDENTAL MINDORO","FULL TRANSMISSION"
"RIZAL, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"RIZAL (LIWAN), KALINGA","PARTIAL TRANSMISSION"
"RIZAL (MARCOS), PALAWAN","FULL TRANSMISSION"
"RODRIGUEZ  (MONTALBAN), RIZAL","PARTIAL TRANSMISSION"
"ROMBLON, ROMBLON","FULL TRANSMISSION"
"RONDA, CEBU","FULL TRANSMISSION"
"ROSALES, PANGASINAN","FULL TRANSMISSION"
"ROSARIO, AGUSAN DEL SUR","FULL TRANSMISSION"
"ROSARIO, BATANGAS","FULL TRANSMISSION"
"ROSARIO, CAVITE","FULL TRANSMISSION"
"ROSARIO, LA UNION","FULL TRANSMISSION"
"ROSARIO, NORTHERN SAMAR","FULL TRANSMISSION"
"ROSELLER LIM, ZAMBOANGA SIBUGAY","FULL TRANSMISSION"
"ROXAS, ISABELA","FULL TRANSMISSION"
"ROXAS, ORIENTAL MINDORO","FULL TRANSMISSION"
"ROXAS, PALAWAN","FULL TRANSMISSION"
"ROXAS CITY, CAPIZ","PARTIAL TRANSMISSION"
"SABANGAN, MOUNTAIN PROVINCE","FULL TRANSMISSION"
"SABLAN, BENGUET","FULL TRANSMISSION"
"SABLAYAN, OCCIDENTAL MINDORO","FULL TRANSMISSION"
"SABTANG, BATANES","FULL TRANSMISSION"
"SADANGA, MOUNTAIN PROVINCE","FULL TRANSMISSION"
"SAGÑAY, CAMARINES SUR","FULL TRANSMISSION"
"SAGADA, MOUNTAIN PROVINCE","FULL TRANSMISSION"
"SAGAY, CAMIGUIN","FULL TRANSMISSION"
"SAGAY CITY, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"SAGBAYAN (BORJA), BOHOL","FULL TRANSMISSION"
"SAGUDAY, QUIRINO","FULL TRANSMISSION"
"SAGUIARAN, LANAO DEL SUR","FULL TRANSMISSION"
"SAINT BERNARD, SOUTHERN LEYTE","FULL TRANSMISSION"
"SALAY, MISAMIS ORIENTAL","FULL TRANSMISSION"
"SALCEDO, EASTERN SAMAR","FULL TRANSMISSION"
"SALCEDO (BAUGEN), ILOCOS SUR","FULL TRANSMISSION"
"SALLAPADAN, ABRA","FULL TRANSMISSION"
"SALUG, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"SALVADOR, LANAO DEL NORTE","FULL TRANSMISSION"
"SALVADOR BENEDICTO, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"SAMAL, BATAAN","FULL TRANSMISSION"
"SAMBOAN, CEBU","FULL TRANSMISSION"
"SAMPALOC, NATIONAL CAPITAL REGION - MANILA","NO TRANSMISSION"
"SAMPALOC, QUEZON","FULL TRANSMISSION"
"SAN AGUSTIN, ISABELA","FULL TRANSMISSION"
"SAN AGUSTIN, ROMBLON","FULL TRANSMISSION"
"SAN AGUSTIN, SURIGAO DEL SUR","FULL TRANSMISSION"
"SAN ANDRES, QUEZON","FULL TRANSMISSION"
"SAN ANDRES, ROMBLON","FULL TRANSMISSION"
"SAN ANDRES (CALOLBON), CATANDUANES","PARTIAL TRANSMISSION"
"SAN ANTONIO, NORTHERN SAMAR","FULL TRANSMISSION"
"SAN ANTONIO, NUEVA ECIJA","FULL TRANSMISSION"
"SAN ANTONIO, QUEZON","FULL TRANSMISSION"
"SAN ANTONIO, ZAMBALES","FULL TRANSMISSION"
"SAN BENITO, SURIGAO DEL NORTE","PARTIAL TRANSMISSION"
"SAN CARLOS CITY, NEGROS OCCIDENTAL","PARTIAL TRANSMISSION"
"SAN CARLOS CITY, PANGASINAN","FULL TRANSMISSION"
"SAN CLEMENTE, TARLAC","FULL TRANSMISSION"
"SAN DIONISIO, ILOILO","FULL TRANSMISSION"
"SAN EMILIO, ILOCOS SUR","FULL TRANSMISSION"
"SAN ENRIQUE, ILOILO","FULL TRANSMISSION"
"SAN ENRIQUE, NEGROS OCCIDENTAL","PARTIAL TRANSMISSION"
"SAN ESTEBAN, ILOCOS SUR","FULL TRANSMISSION"
"SAN FABIAN, PANGASINAN","FULL TRANSMISSION"
"SAN FELIPE, ZAMBALES","FULL TRANSMISSION"
"SAN FERNANDO, BUKIDNON","FULL TRANSMISSION"
"SAN FERNANDO, CAMARINES SUR","FULL TRANSMISSION"
"SAN FERNANDO, CEBU","FULL TRANSMISSION"
"SAN FERNANDO, MASBATE","FULL TRANSMISSION"
"SAN FERNANDO, ROMBLON","PARTIAL TRANSMISSION"
